keyword,total_sold,avg_price_usd,median_price_usd,min_price_usd,max_price_usd,unique_sellers,japan_sellers,suspected_japan_sellers,competition_score
anime production cel,0,0.00,0.00,0.00,0.00,0,0,0,
anime cel japan,0,0.00,0.00,0.00,0.00,0,0,0,
anime genga,0,0.00,0.00,0.00,0.00,0,0,0,
anime douga,0,0.00,0.00,0.00,0.00,0,0,0,
sailor moon cel,0,0.00,0.00,0.00,0.00,0,0,0,
dragon ball cel,0,0.00,0.00,0.00,0.00,0,0,0,
studio ghibli cel,0,0.00,0.00,0.00,0.00,0,0,0,
naruto production art,0,0.00,0.00,0.00,0.00,0,0,0,
gundam cel,0,0.00,0.00,0.00,0.00,0,0,0,
anime cel art original,0,0.00,0.00,0.00,0.00,0,0,0,
sofubi japan,0,0.00,0.00,0.00,0.00,0,0,0,
kaiju sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
bullmark sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
popy sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
marusan sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
medicom sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
vintage kaiju vinyl japan,0,0.00,0.00,0.00,0.00,0,0,0,
designer sofubi,0,0.00,0.00,0.00,0.00,0,0,0,
ultraman sofubi vintage,0,0.00,0.00,0.00,0.00,0,0,0,
godzilla sofubi japan,0,0.00,0.00,0.00,0.00,0,0,0,
japan exclusive figure,0,0.00,0.00,0.00,0.00,0,0,0,
japan limited edition figure,0,0.00,0.00,0.00,0.00,0,0,0,
japan only merchandise,0,0.00,0.00,0.00,0.00,0,0,0,
japanese prize figure,0,0.00,0.00,0.00,0.00,0,0,0,
ichiban kuji japan,0,0.00,0.00,0.00,0.00,0,0,0,
japan lottery prize figure,0,0.00,0.00,0.00,0.00,0,0,0,
parappa rapper merchandise,0,0.00,0.00,0.00,0.00,0,0,0,
parappa rapper figure,0,0.00,0.00,0.00,0.00,0,0,0,
um jammer lammy,0,0.00,0.00,0.00,0.00,0,0,0,
game soundtrack vinyl japan,0,0.00,0.00,0.00,0.00,0,0,0,
japanese game artbook,0,0.00,0.00,0.00,0.00,0,0,0,
video game figure japan exclusive,0,0.00,0.00,0.00,0.00,0,0,0,
popee performer,0,0.00,0.00,0.00,0.00,0,0,0,
smart doll danny choo,0,0.00,0.00,0.00,0.00,0,0,0,
smart doll retired,0,0.00,0.00,0.00,0.00,0,0,0,
smart doll body,0,0.00,0.00,0.00,0.00,0,0,0,
japanese ball jointed doll,0,0.00,0.00,0.00,0.00,0,0,0,
japanese mahjong set,0,0.00,0.00,0.00,0.00,0,0,0,
riichi mahjong tiles,0,0.00,0.00,0.00,0.00,0,0,0,
nintendo hanafuda,0,0.00,0.00,0.00,0.00,0,0,0,
japanese hanafuda cards,0,0.00,0.00,0.00,0.00,0,0,0,
tokyo mew mew japan,0,0.00,0.00,0.00,0.00,0,0,0,
anime shikishi japan,0,0.00,0.00,0.00,0.00,0,0,0,
anime tapestry japan,0,0.00,0.00,0.00,0.00,0,0,0,
japanese doujinshi,0,0.00,0.00,0.00,0.00,0,0,0,
anime reproduction art,0,0.00,0.00,0.00,0.00,0,0,0,
japanese city pop vinyl,0,0.00,0.00,0.00,0.00,0,0,0,
japan vinyl record,0,0.00,0.00,0.00,0.00,0,0,0,
japanese laserdisc anime,0,0.00,0.00,0.00,0.00,0,0,0,
japanese stationery,0,0.00,0.00,0.00,0.00,0,0,0,
japanese fountain pen,0,0.00,0.00,0.00,0.00,0,0,0,
japanese washi tape,0,0.00,0.00,0.00,0.00,0,0,0,
japanese knife chef,0,0.00,0.00,0.00,0.00,0,0,0,
nambu ironware japan,0,0.00,0.00,0.00,0.00,0,0,0,
japanese idol goods,0,0.00,0.00,0.00,0.00,0,0,0,
jpop merchandise,0,0.00,0.00,0.00,0.00,0,0,0,
